track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_m,year,mouth,day,day_1_2_3,mouth_1_2_3_4
75,2,3,0.686,0.83,-4.437,1,0.0369,0.0948,1.33e-06,0.486,123.032,4,2019,10,18,2,1
73,2,3,0.618,0.66,-8.14,0,0.0372,0.0292,2.07e-06,0.408,105.0,4,2019,5,23,3,3
79,2,3,0.665,0.699,-5.265,1,0.0578,0.423,0.0,0.585,124.896,3,2018,10,18,2,1
74,2,3,0.661,0.725,-4.859,1,0.0563,0.0253,0.0,0.605,119.927,3,2018,3,16,2,3
63,2,3,0.571,0.752,-4.872,1,0.0293,0.0196,6.92e-05,0.25,102.043,3,2019,3,1,1,3
79,2,3,0.591,0.705,-6.519,0,0.079,0.381,0.000116,0.27,121.799,4,2019,4,19,2,3
16,2,3,0.652,0.898,-4.481,0,0.0361,0.29,0.0,0.472,114.043,3,2018,11,9,1,1
75,2,3,0.706,0.855,-5.377,1,0.215,0.0911,0.0,0.293,107.184,3,2018,9,27,3,1
75,2,3,0.404,0.806,-4.75,1,0.0496,0.198,0.0,0.112,148.036,4,2019,8,16,2,4
55,2,3,0.876,0.856,-3.884,1,0.0486,0.0812,1.29e-06,0.685,121.991,3,2019,7,12,2,4
30,2,3,0.802,0.645,-6.181,0,0.0715,0.272,0.0,0.376,100.001,3,2019,4,10,1,3
62,2,3,0.906,0.832,-3.004,0,0.0718,0.0909,0.0,0.751,104.03,3,2019,7,12,2,4
84,2,3,0.753,0.657,-3.061,1,0.0449,0.171,0.0,0.437,107.01,3,2018,1,23,3,2
70,2,3,0.693,0.674,-4.449,1,0.0723,0.185,0.0,0.378,95.972,3,2019,9,27,3,1
37,2,3,0.672,0.815,-6.476,0,0.0981,0.00246,0.0,0.341,115.033,4,2019,7,12,2,4
70,2,3,0.581,0.76,-3.962,1,0.0406,0.16,0.0,0.523,104.099,3,2019,10,24,3,1
74,2,3,0.643,0.594,-5.453,1,0.0318,0.0128,0.0,0.442,144.033,4,2019,5,13,2,3
85,2,3,0.674,0.881,-2.853,1,0.147,0.296,3.01e-06,0.234,98.994,3,2019,1,18,2,2
36,2,3,0.691,0.538,-9.952,1,0.103,0.246,0.163,0.329,99.972,3,2019,6,18,2,4
52,2,3,0.661,0.758,-5.299,1,0.0864,0.0797,0.0,0.387,114.098,4,2019,9,6,1,1
58,2,3,0.653,0.69,-5.003,1,0.0756,0.109,0.0,0.652,110.214,3,2019,10,11,2,1
72,2,3,0.734,0.693,-6.474,1,0.0361,0.0878,0.0,0.55,110.021,3,2019,6,14,2,4
64,2,3,0.663,0.696,-5.994,1,0.0349,0.0563,6.25e-06,0.449,139.98,3,2018,8,31,3,4
63,2,3,0.55,0.899,-3.284,0,0.0458,0.0113,9.65e-05,0.408,125.85,3,2019,1,25,3,2
77,2,3,0.703,0.868,-4.661,0,0.0291,0.15,0.132,0.733,121.03,3,2017,3,2,1,3
76,2,3,0.44,0.635,-6.385,1,0.0326,0.129,0.0,0.327,128.133,3,2019,2,21,3,2
74,2,3,0.625,0.707,-4.761,1,0.0337,0.22,0.0,0.479,138.064,4,2017,3,3,1,3
56,2,3,0.625,0.719,-5.541,1,0.0612,0.048,0.0,0.326,101.091,3,2019,7,12,2,4
77,2,3,0.547,0.795,-3.721,1,0.0489,0.145,0.0,0.723,118.118,3,2019,10,25,3,1
71,2,3,0.673,0.596,-7.891,1,0.0354,0.166,0.0,0.19,123.969,3,2019,2,14,2,2
64,2,3,0.699,0.633,-6.547,1,0.0362,0.0453,0.0,0.458,123.449,3,2019,5,17,2,3
82,2,3,0.647,0.726,-4.389,0,0.0552,0.157,0.0,0.767,114.996,3,2019,5,31,3,3
81,2,3,0.588,0.67,-6.439,1,0.0473,0.0104,3.33e-06,0.505,118.159,4,2018,9,6,1,1
41,2,3,0.655,0.427,-11.684,0,0.0799,0.295,0.00108,0.224,107.992,4,2018,1,25,3,2
62,2,3,0.79,0.865,-4.159,1,0.0438,0.0264,0.0892,0.362,122.99,3,2018,12,7,1,2
5,2,3,0.611,0.737,-5.154,0,0.0476,0.0145,0.0,0.574,124.169,3,2019,2,27,3,2
72,2,3,0.726,0.763,-6.872,1,0.0882,0.524,2.64e-06,0.516,128.02,3,2019,10,25,3,1
24,2,3,0.714,0.705,-6.479,1,0.0995,0.292,0.000386,0.471,114.994,4,2019,8,16,2,4
58,2,3,0.619,0.938,-5.245,1,0.35,0.0257,1.39e-05,0.601,94.38,3,2017,10,13,2,1
65,2,3,0.575,0.808,-4.578,1,0.0439,0.0446,0.0,0.232,127.922,3,2019,7,12,2,4
64,2,3,0.768,0.808,-1.818,1,0.112,0.00627,5.33e-06,0.664,119.971,3,2019,3,8,1,3
53,2,3,0.767,0.605,-5.737,0,0.188,0.559,0.000363,0.657,107.042,3,2019,8,9,1,4
72,2,3,0.466,0.612,-4.855,0,0.0307,0.0655,4.07e-06,0.236,128.114,4,2019,8,16,2,4
39,2,3,0.434,0.917,-3.613,0,0.0633,0.301,1.8e-05,0.622,121.967,2,2019,4,12,2,3
75,2,3,0.744,0.79,-4.617,0,0.0562,0.0547,0.000802,0.847,125.002,3,2019,4,5,1,3
60,2,3,0.837,0.818,-4.474,0,0.0533,0.0527,0.00642,0.484,109.993,3,2019,5,30,3,3
18,2,3,0.514,0.856,-4.285,1,0.0717,0.00123,6.34e-06,0.351,117.014,4,2019,8,2,1,4
79,2,3,0.69,0.622,-5.025,0,0.0622,0.253,0.0,0.544,102.04,4,2017,2,23,3,2
60,2,3,0.466,0.869,-4.275,1,0.0529,0.0142,0.00241,0.185,126.113,3,2019,10,25,3,1
83,2,3,0.842,0.801,-4.167,0,0.228,0.157,4.82e-06,0.617,95.881,4,2018,9,28,3,1
85,2,3,0.748,0.524,-5.599,1,0.0338,0.414,0.0,0.661,95.01,4,2016,7,29,3,4
47,2,3,0.647,0.624,-8.446,1,0.0451,0.025,0.056,0.477,115.002,4,2014,10,13,2,1
74,2,3,0.509,0.781,-3.48,1,0.072,0.0398,0.0,0.176,128.0,5,2012,1,1,1,2
80,2,3,0.737,0.636,-4.546,0,0.0437,0.0441,6.66e-05,0.565,105.005,4,2018,5,17,2,3
81,2,3,0.584,0.54,-7.786,0,0.0576,0.0895,0.0,0.195,137.972,4,2017,1,27,3,2
76,2,3,0.743,0.733,-5.337,1,0.0375,0.00402,0.0,0.622,104.977,3,2017,8,17,2,4
96,2,3,0.721,0.716,-7.037,0,0.0657,0.0334,0.00084,0.667,104.994,4,2019,10,12,2,1
84,2,3,0.781,0.768,-5.991,1,0.0394,0.0119,4.91e-06,0.486,123.07,4,2018,8,17,2,4
86,2,3,0.737,0.828,-4.711,1,0.0396,0.0149,0.000583,0.517,124.052,3,2019,9,13,2,1
68,2,3,0.57,0.763,-4.137,1,0.0573,0.0857,2.49e-06,0.43,150.088,4,2017,2,10,1,2
66,2,3,0.551,0.651,-5.828,0,0.0594,0.225,0.0,0.562,144.875,3,2017,6,9,1,4
83,2,3,0.617,0.635,-6.769,0,0.0317,0.0498,1.44e-05,0.446,103.019,4,2017,4,7,1,3
85,2,3,0.791,0.862,-3.24,0,0.11,0.037,2.19e-05,0.592,123.994,4,2018,4,6,1,3
73,2,3,0.503,0.748,-4.124,1,0.0619,0.0305,0.0,0.356,125.896,4,2015,5,26,3,3
69,2,3,0.64,0.533,-6.596,1,0.0706,0.119,0.0,0.515,99.968,4,2017,2,17,2,2
69,2,3,0.658,0.677,-6.628,1,0.0393,0.248,0.0,0.248,124.91,4,2012,1,1,1,2
81,2,3,0.649,0.716,-5.371,1,0.0349,0.0863,2.63e-05,0.163,99.988,3,2016,8,5,1,4
73,2,3,0.713,0.802,-7.055,1,0.0561,0.0435,0.00377,0.343,100.001,4,2015,6,16,2,4
61,2,3,0.596,0.738,-3.109,1,0.0411,0.109,0.0,0.461,127.961,4,2012,1,1,1,2
19,2,3,0.503,0.727,-5.456,1,0.167,0.0159,9.45e-05,0.521,121.985,4,2013,1,1,1,2
57,2,3,0.609,0.726,-4.346,0,0.0414,0.0723,8.45e-06,0.362,93.958,3,2018,9,14,2,1
81,2,3,0.654,0.76,-3.669,0,0.045,0.0797,0.0,0.41,99.945,3,2015,11,13,2,1
79,2,3,0.63,0.928,-2.787,0,0.0331,0.199,0.124,0.465,123.963,4,2016,4,29,3,3
84,2,3,0.532,0.783,-5.697,1,0.0523,0.0038,0.0012,0.643,124.08,4,2013,1,1,1,2
84,2,3,0.694,0.77,-5.335,1,0.149,0.176,1.1e-05,0.163,125.905,3,2018,6,8,1,4
66,2,3,0.604,0.787,-3.674,0,0.103,0.0679,0.15,0.301,126.062,4,2011,8,26,3,4
8,2,3,0.432,0.74,-5.053,1,0.062,0.0342,6.59e-06,0.193,139.42,4,2015,11,13,2,1
64,2,3,0.638,0.832,-5.039,1,0.049,0.141,0.0,0.648,124.071,4,2010,1,1,1,2
61,2,3,0.759,0.716,-6.36,0,0.0818,0.0223,0.0,0.469,105.009,3,2017,9,28,3,1
27,2,3,0.614,0.832,-3.419,0,0.0522,0.11,0.0,0.429,129.038,4,2012,1,1,1,2
74,2,3,0.669,0.832,-5.72,1,0.0682,0.0106,0.0,0.7,113.035,4,2016,9,23,3,1
57,2,3,0.702,0.781,-4.081,1,0.03,0.433,0.0,0.382,102.997,5,2012,1,1,1,2
69,2,3,0.851,0.806,-4.618,1,0.0786,0.12,1.33e-06,0.776,119.001,4,2008,1,1,1,2
77,2,3,0.738,0.868,-4.373,0,0.0731,0.0389,0.00171,0.336,122.003,4,2015,7,17,2,4
74,2,3,0.57,0.672,-5.89,0,0.0723,0.177,0.0,0.448,120.019,3,2020,1,10,1,2
5,2,3,0.67,0.89,-3.785,0,0.0576,0.122,0.0,0.568,124.967,3,2019,9,27,3,1
57,2,3,0.708,0.727,-7.647,1,0.0389,0.0201,0.676,0.512,120.012,4,2019,9,12,2,1
68,2,3,0.654,0.787,-4.999,1,0.0502,0.00515,0.0,0.409,123.978,3,2019,12,20,2,2
65,2,3,0.945,0.584,-7.649,0,0.044,0.0955,0.341,0.626,124.996,3,2019,7,26,3,4
58,2,3,0.704,0.929,-4.447,1,0.0395,0.0395,0.0249,0.633,126.055,3,2019,1,25,3,2
81,2,3,0.765,0.906,-2.097,0,0.0965,0.125,0.0,0.95,96.071,3,2019,7,5,1,4
68,2,3,0.682,0.855,-3.282,1,0.0401,0.0566,1e-06,0.304,124.004,3,2020,1,10,1,2
43,2,3,0.627,0.662,-7.104,0,0.0349,0.0922,0.000166,0.596,124.039,3,2019,6,21,3,4
57,2,3,0.762,0.736,-7.66,1,0.0778,0.135,0.0538,0.248,126.007,3,2019,12,20,2,2
58,2,3,0.577,0.844,-3.364,1,0.0406,0.00407,6.13e-06,0.283,115.066,3,2019,7,19,2,4
58,2,3,0.632,0.816,-4.584,1,0.0349,0.00205,0.106,0.134,127.95,3,2019,12,19,2,2
91,2,3,0.598,0.526,-8.659,0,0.0415,0.129,0.0,0.529,123.935,3,2019,10,11,2,1
67,2,3,0.825,0.841,-6.433,1,0.135,0.0906,0.00411,0.616,126.026,3,2019,7,19,2,4
42,2,3,0.63,0.731,-4.985,1,0.0352,0.0191,7.82e-06,0.46,119.997,4,2019,9,19,2,1
70,2,3,0.795,0.899,-4.202,1,0.0685,0.00235,0.000392,0.329,125.978,3,2019,8,29,3,4
64,2,3,0.529,0.717,-7.049,0,0.24,0.123,0.000707,0.481,103.99,4,2017,4,28,3,3
79,2,3,0.7,0.872,-5.896,1,0.0666,0.121,7.08e-06,0.761,125.03,3,2018,11,2,1,1
48,2,3,0.791,0.541,-7.14,1,0.054,0.123,4.74e-05,0.433,115.987,3,2020,1,10,1,2
53,2,3,0.904,0.633,-5.545,1,0.0958,0.203,0.000266,0.492,121.995,3,2019,12,20,2,2
75,2,3,0.744,0.725,-6.055,1,0.0303,0.018,9.29e-06,0.904,118.034,3,2019,12,13,2,2
46,2,3,0.772,0.687,-6.348,0,0.211,0.0528,0.0,0.59,118.116,3,2019,11,8,1,1
67,2,3,0.706,0.524,-8.804,1,0.026,0.127,0.00129,0.296,111.991,3,2019,10,4,1,1
65,2,3,0.664,0.699,-7.115,0,0.27,0.0352,0.0,0.252,122.019,4,2019,12,18,2,2
56,2,3,0.781,0.745,-4.942,0,0.0374,0.0814,9.71e-05,0.498,110.051,3,2019,12,20,2,2
42,2,3,0.789,0.547,-8.738,0,0.0748,0.072,9.21e-05,0.48,120.024,3,2019,8,28,3,4
58,2,3,0.575,0.808,-4.578,1,0.0439,0.0446,0.0,0.232,127.922,3,2019,10,25,3,1
74,2,3,0.669,0.797,-5.68,0,0.0624,0.259,0.0,0.552,119.865,3,2019,5,9,1,3
65,2,3,0.567,0.946,-2.245,0,0.0541,0.0978,1.37e-06,0.295,104.983,3,2019,5,2,1,3
64,2,3,0.653,0.757,-3.642,1,0.0555,0.0997,0.0,0.233,128.015,3,2019,9,27,3,1
51,2,3,0.721,0.779,-4.239,0,0.0606,0.142,0.0,0.327,110.026,3,2019,10,18,2,1
63,2,3,0.534,0.765,-3.151,1,0.0338,0.0915,0.00107,0.117,127.978,3,2018,11,9,1,1
83,2,3,0.651,0.693,-4.722,1,0.0375,0.458,0.0,0.392,118.97,4,2019,10,31,3,1
55,2,3,0.682,0.923,-3.273,1,0.0364,0.00395,3e-05,0.37,130.052,3,2019,11,29,3,1
39,2,3,0.66,0.827,-5.081,1,0.0789,0.429,0.0,0.611,115.349,3,2019,10,18,2,1
48,2,3,0.57,0.965,-4.881,0,0.0348,0.00108,0.523,0.148,123.008,5,2019,10,4,1,1
59,2,3,0.608,0.918,-1.137,0,0.0684,0.199,0.0,0.422,126.022,3,2019,12,6,1,2
64,2,3,0.561,0.562,-11.431,0,0.15,0.062,0.0,0.244,151.631,4,2019,12,11,2,2
42,2,3,0.591,0.88,-5.153,0,0.223,0.0804,0.0,0.482,127.013,3,2019,11,15,2,1
70,2,3,0.626,0.8,-3.988,0,0.035,0.0267,0.000138,0.258,127.966,3,2018,1,26,3,2
57,2,3,0.745,0.8,-5.606,0,0.0361,0.0209,0.000479,0.314,122.008,3,2019,7,19,2,4
21,2,3,0.66,0.857,-5.219,1,0.321,0.167,1.36e-05,0.233,130.069,4,2019,7,12,2,4
68,2,3,0.53,0.729,-6.019,1,0.0376,0.00699,0.0,0.219,139.929,4,2019,10,24,3,1
63,2,3,0.552,0.887,-3.812,1,0.147,0.0457,0.0207,0.783,125.229,2,2019,8,8,1,4
54,2,3,0.471,0.911,-4.372,0,0.0594,0.0316,0.00648,0.197,126.112,3,2019,5,31,3,3
79,2,3,0.747,0.776,-5.898,0,0.0722,0.0233,1.38e-05,0.67,125.07,2,2019,11,22,3,1
72,2,3,0.712,0.664,-8.026,1,0.0345,0.0416,0.000104,0.781,122.014,3,2019,12,6,1,2
80,2,3,0.733,0.859,-5.03,0,0.033,0.479,0.0645,0.52,124.948,2,2019,4,5,1,3
47,2,3,0.517,0.793,-5.851,0,0.0367,0.0214,0.00046,0.176,90.06,3,2019,2,22,3,2
19,2,3,0.675,0.674,-6.329,1,0.0372,0.00339,8.55e-05,0.414,125.037,3,2019,3,1,1,3
79,2,3,0.818,0.823,-3.563,0,0.2,0.0663,1.17e-05,0.52,128.136,3,2019,11,22,3,1
59,2,3,0.639,0.591,-3.905,0,0.0344,0.128,6.69e-06,0.305,128.002,4,2019,11,8,1,1
